Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"E8","W01241176920",3,5000,,0.0028,0.0086,1888,,0.0454,0.1063,0.1362,,
"E9","W01241176921",1,35,,0.5369,0.0118,1265,,0.0964,0.2186,0.2591,,
"E9","W01241176921",2,684,100.0,0.2186,0.0964,2220,,0.0964,0.2186,0.2591,,
"E9","W01241176921",3,5000,,0.0029,0.0088,1581,,0.0964,0.2186,0.2591,,
"E10","W01241176922",1,35,,0.5682,0.0118,1656,,0.0902,0.1960,0.3626,,
"E10","W01241176922",2,730,60.2,0.1249,0.0543,2430,,0.0902,0.1960,0.3626,,
"E10","W01241176922",3,816,39.8,0.0712,0.0358,1875,,0.0902,0.1960,0.3626,,
"E10","W01241176922",4,5000,,0.0027,0.0082,1768,,0.0902,0.1960,0.3626,,
"E11","W01241176923",1,35,,0.6433,0.0118,1500,,0.0044,0.0016,0.1393,,
"E11","W01241176923",2,4596,100.0,0.0016,0.0044,1551,,0.0044,0.0016,0.1393,,
"E11","W01241176923",3,5000,,0.0013,0.0038,995,,0.0044,0.0016,0.1393,,
"E12","W01241176924",1,35,,0.5682,0.0118,1676,,0.0852,0.1801,0.3252,,
"E12","W01241176924",2,737,53.7,0.1039,0.0457,2137,,0.0852,0.1801,0.3252,,
"E12","W01241176924",3,826,46.3,0.0762,0.0395,1883,,0.0852,0.1801,0.3252,,
"E12","W01241176924",4,5000,,0.0027,0.0082,1899,,0.0852,0.1801,0.3252,,
"F1","W01241176925",1,35,,0.5521,0.0118,1615,,0.0627,0.1333,0.2721,,
"F1","W01241176925",2,743,58.1,0.0820,0.0364,1808,,0.0627,0.1333,0.2721,,
"F1","W01241176925",3,837,41.9,0.0513,0.0263,1526,,0.0627,0.1333,0.2721,,
"F1","W01241176925",4,5000,,0.0033,0.0100,2644,,0.0627,0.1333,0.2721,,
"F2","W01241176926",1,35,,0.5682,0.0118,1826,,0.0686,0.1422,0.2547,,
"F2","W01241176926",2,743,56.4,0.0873,0.0387,2473,,0.0686,0.1422,0.2547,,
"F2","W01241176926",3,831,43.6,0.0549,0.0299,1591,,0.0686,0.1422,0.2547,,
"F2","W01241176926",4,5000,,0.0028,0.0086,2701,,0.0686,0.1422,0.2547,,
"F3","W01241176927",1,35,,0.5225,0.0118,1429,,0.0344,0.0776,0.2566,,
"F3","W01241176927",2,743,100.0,0.0776,0.0344,1550,,0.0344,0.0776,0.2566,,
"F3","W01241176927",3,5000,,0.0033,0.0101,2234,,0.0344,0.0776,0.2566,,
"F4","W01241176928",1,35,,0.5521,0.0118,1084,,0.0862,0.1813,0.2921,,
"F4","W01241176928",2,743,53.3,0.1042,0.0459,1663,,0.0862,0.1813,0.2921,,
"F4","W01241176928",3,829,46.7,0.0771,0.0403,1396,,0.0862,0.1813,0.2921,,
"F4","W01241176928",4,5000,,0.0028,0.0085,1507,,0.0862,0.1813,0.2921,,
"F5","W01241176929",1,35,,0.5521,0.0118,557,,1.0635,4.6568,1.0801,,
"F5","W01241176929",2,44,3.8,1.4033,0.0403,1688,,1.0635,4.6568,1.0801,,
"F5","W01241176929",3,481,57.9,2.3076,0.6157,1464,,1.0635,4.6568,1.0801,,
"F5","W01241176929",4,589,16.2,0.4554,0.1721,1160,,1.0635,4.6568,1.0801,,
"F5","W01241176929",5,758,13.5,0.3182,0.1433,2245,,1.0635,4.6568,1.0801,,
"F5","W01241176929",6,852,8.7,0.1724,0.0922,1488,,1.0635,4.6568,1.0801,,
"F5","W01241176929",7,5000,,0.0085,0.0257,2127,,1.0635,4.6568,1.0801,,
"F6","W01241176930",1,35,,0.5369,0.0118,1623,,0.0000,0.0000,0.0880,,
"F6","W01241176930",2,5000,,0.0027,0.0081,1725,,0.0000,0.0000,0.0880,,
"F7","W01241176931",1,35,,0.5682,0.0118,1678,,0.0926,0.1945,0.3213,,
"F7","W01241176931",2,739,51.1,0.1073,0.0473,3037,,0.0926,0.1945,0.3213,,
"F7","W01241176931",3,826,48.9,0.0872,0.0452,2516,,0.0926,0.1945,0.3213,,
"F7","W01241176931",4,5000,,0.0021,0.0065,1928,,0.0926,0.1945,0.3213,,
"F8","W01241176932",1,35,,0.5682,0.0118,1850,,0.0595,0.1253,0.2373,,
"F8","W01241176932",2,741,53.0,0.0718,0.0315,1943,,0.0595,0.1253,0.2373,,
"F8","W01241176932",3,831,47.0,0.0535,0.0280,1549,,0.0595,0.1253,0.2373,,
"F8","W01241176932",4,5000,,0.0029,0.0090,2867,,0.0595,0.1253,0.2373,,
"F9","W01241176933",1,35,,0.5521,0.0118,1801,,0.0612,0.1269,0.2264,,
"F9","W01241176933",2,735,50.9,0.0717,0.0311,1867,,0.0612,0.1269,0.2264,,
"F9","W01241176933",3,826,49.1,0.0552,0.0301,1550,,0.0612,0.1269,0.2264,,
"F9","W01241176933",4,5000,,0.0020,0.0060,2063,,0.0612,0.1269,0.2264,,
"F10","W01241176934",1,35,,0.5521,0.0118,1995,,0.0338,0.0760,0.2597,,
"F10","W01241176934",2,745,100.0,0.0760,0.0338,1995,,0.0338,0.0760,0.2597,,
"F10","W01241176934",3,5000,,0.0031,0.0095,2761,,0.0338,0.0760,0.2597,,
"F11","W01241176935",1,35,,0.6034,0.0118,1867,,0.0969,0.6645,0.3591,,
"F11","W01241176935",2,43,13.9,0.5005,0.0135,3552,,0.0969,0.6645,0.3591,,
"F11","W01241176935",3,712,34.2,0.0773,0.0331,1655,,0.0969,0.6645,0.3591,,
"F11","W01241176935",4,798,45.3,0.0845,0.0439,1628,,0.0969,0.6645,0.3591,,
"F11","W01241176935",5,4596,6.7,0.0023,0.0065,1718,,0.0969,0.6645,0.3591,,
"F11","W01241176935",6,5000,,0.0024,0.0072,1173,,0.0969,0.6645,0.3591,,
"F12","W01241176936",1,35,,0.5369,0.0118,1505,,0.0646,0.1328,0.2215,,
"F12","W01241176936",2,747,47.9,0.0696,0.0309,1350,,0.0646,0.1328,0.2215,,
"F12","W01241176936",3,837,52.1,0.0632,0.0337,1464,,0.0646,0.1328,0.2215,,
"F12","W01241176936",4,5000,,0.0023,0.0071,1634,,0.0646,0.1328,0.2215,,
"G1","W01241176937",1,35,,0.5521,0.0118,1873,,0.0000,0.0000,0.0052,,
"G1","W01241176937",2,5000,,0.0030,0.0092,2312,,0.0000,0.0000,0.0052,,
"G2","W01241176938",1,35,,0.5225,0.0118,1812,,0.1243,0.2579,0.4180,,
"G2","W01241176938",2,747,45.7,0.1283,0.0568,3029,,0.1243,0.2579,0.4180,,
"G2","W01241176938",3,837,54.3,0.1296,0.0675,3805,,0.1243,0.2579,0.4180,,
"G2","W01241176938",4,5000,,0.0030,0.0092,2460,,0.1243,0.2579,0.4180,,
"G3","W01241176939",1,35,,0.5521,0.0118,1740,,0.0626,0.1301,0.2320,,
"G3","W01241176939",2,745,47.5,0.0671,0.0298,2076,,0.0626,0.1301,0.2320,,
"G3","W01241176939",3,829,52.5,0.0630,0.0329,2009,,0.0626,0.1301,0.2320,,
"G3","W01241176939",4,5000,,0.0023,0.0071,2374,,0.0626,0.1301,0.2320,,
"G4","W01241176940",1,35,,0.5521,0.0118,1629,,0.1072,0.2166,0.3945,,
"G4","W01241176940",2,743,49.7,0.1198,0.0532,2826,,0.1072,0.2166,0.3945,,
"G4","W01241176940",3,842,50.3,0.0967,0.0540,2677,,0.1072,0.2166,0.3945,,
