Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"F6","SampF6",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F7","SampF7",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F8","SampF8",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F9","SampF9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F10","SampF10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F11","SampF11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F12","SampF12",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G1","SampG1",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G2","SampG2",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G3","SampG3",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G4","SampG4",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G5","SampG5",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G6","SampG6",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G7","SampG7",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G8","SampG8",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G9","SampG9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G10","SampG10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G11","SampG11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"G12","SampG12",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H1","SampH1",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H2","SampH2",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H3","SampH3",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H4","SampH4",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H5","SampH5",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H6","SampH6",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H7","SampH7",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H8","SampH8",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H9","SampH9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H10","SampH10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H11","SampH11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"H12","SampH12",1,35,,20.7386,0.4442,7115,35,,144.6979,470.2895,145.4211,,
"H12","SampH12",2,100,4.2,98.6378,6.0068,9763,100,,144.6979,470.2895,145.4211,,
"H12","SampH12",3,200,5.4,64.2929,7.8205,13969,200,,144.6979,470.2895,145.4211,,
"H12","SampH12",4,300,5.8,46.1959,8.4251,15120,300,,144.6979,470.2895,145.4211,,
"H12","SampH12",5,400,6.5,38.4559,9.3493,15810,400,,144.6979,470.2895,145.4211,,
"H12","SampH12",6,500,16.5,78.6163,23.8882,35881,500,,144.6979,470.2895,145.4211,,
"H12","SampH12",7,600,5.9,23.3396,8.4812,12790,600,,144.6979,470.2895,145.4211,,
"H12","SampH12",8,700,5.8,19.6378,8.3288,13351,700,,144.6979,470.2895,145.4211,,
"H12","SampH12",9,800,5.6,16.6036,8.0505,13524,800,,144.6979,470.2895,145.4211,,
"H12","SampH12",10,900,5.7,15.1160,8.2474,14692,900,,144.6979,470.2895,145.4211,,
"H12","SampH12",11,1000,15.3,36.4312,22.0677,39142,1000,,144.6979,470.2895,145.4211,,
"H12","SampH12",12,1200,6.1,12.1542,8.8535,17737,1200,,144.6979,470.2895,145.4211,,
"H12","SampH12",13,1500,5.9,9.3762,8.5271,17315,1500,,144.6979,470.2895,145.4211,,
"H12","SampH12",14,2000,5.9,7.0089,8.5538,18431,2000,,144.6979,470.2895,145.4211,,
"H12","SampH12",15,3000,5.6,4.4231,8.0980,17541,3000,,144.6979,470.2895,145.4211,,
"H12","SampH12",16,5000,,0.1637,0.5000,12107,5000,,144.6979,470.2895,145.4211,,
