Size (nt),"A1: TR241116654","A2: TR241116655","A3: TR241116656","A4: TR241116657","A5: TR241116658","A6: TR241116659","A7: TR241116702","A8: TR241116703","A9: TR241116704","A10: TR241116705","A11: TR241116706","A12: TR241116707","B1: TR241116660","B2: TR241116661","B3: TR241116662","B4: TR241116663","B5: TR241116664","B6: TR241116665","B7: TR241116709","B8: TR241116710","B9: TR241116712","B10: TR241116713","B11: TR241116715","B12: TR241116716","C1: TR241116666","C2: TR241116667","C3: TR241116668","C4: TR241116669","C5: TR241116670","C6: TR241116671","C7: TR241116718","C8: TR241116719","C9: TR241116721","C10: TR241116722","C11: TR241116724","C12: TR241116725","D1: TR241116672","D2: TR241116673","D3: TR241116674","D4: TR241116675","D5: TR241116676","D6: TR241116677","D7: TR241116727","D8: TR241116728","D9: TR241116730","D10: TR241116731","D11: TR241116733","D12: TR241116734","E1: TR241116678","E2: TR241116679","E3: TR241116680","E4: TR241116681","E5: TR241116682","E6: TR241116683","E7: TR241116708","E8: TR241116711","E9: TR241116714","E10: TR241116717","E11: TR241116720","E12: TR241116723","F1: TR241116684","F2: TR241116685","F3: TR241116686","F4: TR241116687","F5: TR241116688","F6: TR241116689","F7: TR241116726","F8: TR241116729","F9: TR241116732","F10: R241117373","F11: R241117374","F12: R241117375","G1: TR241116690","G2: TR241116691","G3: TR241116692","G4: TR241116693","G5: TR241116694","G6: TR241116695","G7: R241117383","G8: R241117388","G9: R241117398","G10: R241117430","G11: R241117431","G12: TR241117931","H1: TR241116696","H2: TR241116697","H3: TR241116698","H4: TR241116699","H5: TR241116700","H6: TR241116701","H7: TR241117932","H8: TR241117933","H9: TR241117934","H10: TR241117935","H11: TR241117936","H12:"
9850.71,9.28,26.43,3.88,16.26,18.12,0.00,3.45,14.41,22.25,47.97,4.99,0.00,0.00,0.00,0.00,0.00,8.54,0.00,17.74,0.00,15.18,24.45,0.00,0.73,0.00,7.08,4.41,0.00,1.23,0.00,0.00,-7.06,0.00,0.00,18.83,30.61,0.00,0.00,0.00,0.00,0.00,0.00,24.70,4.09,15.45,18.92,1.55,0.00,0.00,0.00,0.00,15.02,0.34,6.16,0.00,0.00,0.00,13.77,0.00,20.62,18.56,18.82,17.47,44.63,4.98,9.67,3.00,4.17,0.00,291.82,236.18,164.85,12.24,3.27,11.76,41.57,10.91,6.70,119.13,54.34,36.57,32.69,45.56,222.71,35.37,24.68,0.00,14.32,0.00,11.47,263.04,221.59,118.66,158.81,143.80,11.78
9877.83,10.49,27.94,4.20,16.12,17.08,0.00,3.56,14.37,22.60,48.27,4.97,0.00,0.00,0.00,0.00,0.00,8.77,0.00,17.98,0.00,16.87,24.50,0.13,0.47,0.00,7.55,4.29,0.00,1.73,0.00,0.00,0.00,0.00,0.00,18.51,30.14,0.00,0.00,0.00,0.00,0.00,0.00,25.04,4.07,14.77,18.86,1.63,0.00,0.00,0.00,0.00,15.89,0.52,6.20,0.00,0.00,0.00,13.92,0.00,20.57,18.58,18.83,17.56,45.29,5.58,9.46,3.28,4.20,0.00,291.16,237.07,164.64,12.13,3.26,11.01,41.81,10.75,7.04,117.82,54.07,36.15,33.11,45.67,227.00,35.17,25.73,0.00,14.47,0.00,11.94,261.66,222.43,117.79,157.76,142.71,11.82
9904.95,11.71,29.22,4.88,16.08,16.23,0.00,3.85,14.37,23.13,48.69,4.94,0.00,0.00,0.00,0.00,0.00,8.85,0.00,18.17,0.00,18.69,24.47,0.15,0.28,0.00,7.93,4.14,0.00,2.06,0.00,0.00,0.00,0.00,0.00,18.33,29.67,0.00,0.00,0.00,0.00,0.00,0.00,25.45,4.01,14.38,18.79,1.71,0.00,0.00,0.00,0.00,16.52,0.70,6.09,0.00,0.00,0.00,13.92,0.00,20.52,18.51,18.63,17.77,45.80,5.98,9.13,3.49,4.27,0.00,289.69,237.43,164.44,12.11,3.47,10.16,42.06,10.58,7.34,116.45,53.92,35.74,33.18,45.79,230.52,34.93,26.56,0.00,14.59,0.00,12.16,259.90,222.87,116.69,156.51,141.33,11.33
9932.07,12.31,30.49,5.68,16.06,15.66,0.00,4.11,14.46,23.75,49.18,4.87,0.00,0.00,0.00,-0.73,0.00,8.82,0.00,18.23,0.00,20.66,24.43,0.00,0.32,0.00,8.16,4.03,-21.10,2.23,0.00,0.00,0.00,0.00,0.00,18.38,29.32,0.00,0.00,0.00,0.00,0.00,0.00,25.96,3.99,14.45,18.89,1.77,0.00,0.00,0.00,0.00,16.75,1.08,6.00,0.00,0.00,0.00,13.76,0.00,20.49,18.38,18.37,17.90,46.07,6.10,8.71,3.57,4.41,0.00,287.73,237.03,164.29,12.20,3.87,9.38,42.21,10.54,7.58,114.82,53.92,35.36,32.92,45.94,233.30,34.75,27.23,0.00,14.72,0.00,12.23,257.78,222.82,115.43,154.94,139.63,10.29
9959.19,11.88,31.85,6.34,15.96,15.52,0.00,4.16,14.67,24.33,49.80,4.77,0.00,0.00,0.00,0.00,0.00,8.79,0.00,18.15,0.00,22.77,24.47,0.00,0.39,0.00,8.23,3.92,0.00,2.31,0.00,0.00,0.00,0.00,0.00,18.62,29.16,0.00,0.00,0.00,0.00,0.00,0.00,26.59,4.06,15.02,19.25,1.62,0.00,0.00,0.00,0.00,16.65,1.35,6.08,0.00,0.00,0.00,13.53,0.00,20.55,18.20,18.16,17.78,46.02,5.96,8.18,3.53,4.60,0.00,285.49,235.69,164.03,12.40,4.27,8.80,42.18,10.50,7.69,112.74,54.02,35.06,32.54,45.90,235.59,34.67,27.93,0.00,14.89,0.00,12.31,255.21,222.22,114.07,153.06,137.64,8.92
9986.30,10.61,33.15,6.71,15.74,15.38,0.00,3.90,14.98,24.76,50.61,4.73,0.00,0.00,0.00,0.00,0.00,8.82,0.00,17.95,0.00,24.92,24.64,0.00,0.39,0.00,8.18,3.64,0.00,2.42,0.00,0.00,0.00,0.00,0.00,18.78,29.10,0.00,0.00,0.00,0.00,0.00,0.00,27.30,4.15,15.88,19.85,1.24,0.00,0.00,0.00,0.00,16.43,1.48,6.38,0.00,0.00,0.00,13.27,0.00,20.78,18.02,18.03,17.39,45.64,5.73,7.55,3.41,4.82,0.00,283.07,233.36,163.39,12.70,4.41,8.46,41.93,10.49,7.62,110.26,54.12,34.81,32.24,45.67,237.69,34.72,28.81,0.00,15.08,0.00,12.52,252.17,221.07,112.62,150.96,135.42,7.49
10013.42,9.19,34.05,6.84,15.40,15.26,0.00,3.39,15.34,25.01,51.51,4.92,0.00,0.00,0.00,0.00,0.00,8.84,0.00,17.65,0.00,27.04,24.96,0.00,0.29,0.00,8.00,3.30,0.00,2.58,0.00,0.00,0.00,0.00,0.00,18.94,29.01,0.00,0.00,0.00,0.00,0.00,0.00,27.95,4.14,16.69,20.60,0.72,0.00,0.00,0.00,0.00,16.33,1.49,6.78,0.00,0.00,0.00,12.96,0.00,21.18,17.87,17.96,16.86,45.04,5.52,6.95,3.33,5.02,0.00,280.43,230.12,162.21,13.02,4.21,8.28,41.49,10.44,7.32,107.60,54.21,34.58,32.17,45.37,239.57,34.90,29.95,0.00,15.30,0.00,12.92,248.63,219.40,110.93,148.80,133.00,6.20
10040.54,8.19,34.22,6.85,14.93,15.09,0.00,2.81,15.66,25.17,52.34,5.39,0.00,0.00,0.00,0.00,0.00,8.72,0.00,17.28,0.00,29.04,25.41,0.00,0.21,0.00,7.64,2.95,0.00,2.79,0.00,0.00,0.00,0.00,0.00,19.25,28.80,0.00,0.00,0.00,0.00,0.00,0.00,28.36,3.94,17.17,21.40,0.23,0.00,0.00,0.00,0.00,16.47,1.50,7.13,0.00,0.00,0.00,12.57,0.00,21.69,17.78,17.88,16.41,44.74,5.39,6.53,3.40,5.15,0.00,277.37,226.26,160.56,13.27,4.02,8.22,40.95,10.24,6.82,105.03,54.53,34.34,32.30,45.17,240.92,35.13,31.26,0.00,15.55,0.00,13.50,244.59,217.30,109.88,146.63,130.33,5.09
10067.66,7.56,33.61,6.85,14.32,14.73,0.00,2.40,15.85,25.34,52.91,6.02,0.00,0.00,0.00,0.00,0.00,8.40,0.00,17.09,0.00,30.90,25.87,0.00,0.27,0.00,7.13,2.63,0.00,2.98,0.00,0.00,0.00,0.00,0.00,19.50,28.47,0.00,0.00,0.00,0.00,0.00,0.00,28.47,3.60,17.21,22.16,0.00,0.00,0.00,0.00,0.00,16.79,1.57,7.33,0.00,0.00,0.00,12.11,0.00,21.95,17.71,17.76,16.14,44.44,5.29,6.38,3.63,5.14,0.00,273.65,224.16,158.61,13.45,3.84,8.24,40.47,9.93,6.23,102.63,55.03,34.12,32.49,45.13,241.26,35.29,32.57,0.00,15.81,0.00,14.21,240.05,214.86,108.82,144.38,127.35,4.11
10094.78,6.81,32.45,6.91,13.52,14.18,0.00,2.30,15.87,25.66,53.15,6.52,0.00,0.00,0.00,0.00,0.00,7.95,0.00,16.90,0.00,32.64,26.19,0.00,0.58,0.00,6.51,2.41,0.00,3.11,-27.87,0.00,0.00,0.00,0.00,19.72,28.15,0.00,-7.96,0.00,0.00,0.00,-18.80,28.43,3.22,17.05,22.74,0.00,0.00,0.00,0.00,0.00,17.13,1.72,7.36,0.00,0.00,0.00,11.66,0.00,22.20,17.62,17.64,16.09,43.98,5.20,6.39,3.94,5.03,0.00,269.10,222.07,156.42,13.61,3.63,8.39,40.17,9.66,5.75,100.32,55.69,33.97,32.63,45.16,240.40,35.26,33.72,0.00,16.04,0.00,14.98,235.09,212.15,106.21,141.92,124.06,3.16
10121.90,5.69,31.10,6.98,12.58,13.60,0.00,2.47,15.70,26.18,53.05,6.63,0.00,0.00,0.00,0.00,0.00,7.55,0.00,16.65,0.00,34.29,26.24,0.00,1.12,0.00,5.90,2.36,0.00,3.19,0.00,0.00,0.00,0.00,0.00,20.00,27.96,0.00,0.00,0.00,0.00,0.00,0.00,28.39,2.93,16.88,23.05,0.00,0.00,0.00,0.00,0.00,17.34,1.97,7.29,0.00,0.00,0.00,11.32,0.00,22.64,17.48,17.59,16.19,43.73,5.08,6.41,4.13,4.87,0.00,263.74,217.79,153.90,13.77,3.83,8.64,40.08,9.63,5.52,97.98,56.43,33.92,32.63,45.14,238.58,35.02,34.63,0.00,16.23,0.00,15.73,229.92,209.23,103.23,139.18,120.51,2.18
10149.01,4.61,29.88,7.02,11.65,13.16,0.00,2.70,15.34,26.81,52.66,6.28,0.00,0.00,0.00,0.00,0.00,7.35,-10.97,16.55,-12.62,35.89,26.02,-0.71,1.78,0.00,5.44,2.46,0.00,3.26,0.00,0.00,0.00,0.00,0.00,20.36,27.92,0.00,0.00,0.00,0.00,0.23,0.00,28.39,2.79,16.29,23.11,0.00,0.00,0.00,0.00,0.00,17.43,2.31,7.19,0.00,0.00,0.00,11.13,0.00,22.96,17.32,17.63,16.35,43.67,4.94,6.37,4.05,4.73,0.00,257.81,213.42,150.87,13.92,4.42,8.93,40.16,9.89,5.56,95.57,57.08,33.91,32.50,45.02,236.33,34.84,35.33,0.00,16.43,0.00,16.38,227.36,206.13,100.13,136.17,116.76,1.14
10176.13,4.34,28.99,6.95,10.91,12.91,0.00,2.80,14.86,27.34,52.05,5.62,0.00,0.00,0.00,0.00,0.00,7.34,0.00,16.50,0.00,37.44,25.71,0.00,2.41,0.00,5.22,2.60,0.00,3.36,0.00,0.00,0.00,0.00,0.00,20.77,27.94,0.00,0.00,0.00,0.00,0.37,0.00,28.65,2.82,15.42,23.11,0.00,0.00,0.00,0.00,0.00,17.51,2.73,7.15,-71.39,0.00,0.00,11.07,-16.59,23.13,17.11,17.74,16.47,43.78,4.76,6.33,3.70,4.67,0.00,251.64,208.85,147.33,13.97,5.14,9.09,40.33,10.34,5.73,93.08,57.50,33.77,32.26,44.85,234.04,34.67,35.90,0.00,16.66,0.00,16.87,224.80,202.90,97.10,132.91,112.83,0.00
10203.25,5.42,28.51,6.71,10.45,12.77,0.00,2.73,14.34,27.57,51.38,4.88,0.00,0.00,0.00,0.00,0.00,7.37,0.00,16.28,0.00,38.91,25.47,0.00,2.96,0.00,5.30,2.67,0.00,3.48,0.00,0.00,0.00,0.00,0.00,21.08,27.97,0.00,0.00,0.00,0.00,0.41,0.00,29.17,2.84,14.12,23.25,0.00,0.00,0.00,0.00,0.00,17.71,3.14,7.18,0.00,0.00,0.00,11.05,0.00,23.08,16.83,17.88,16.50,43.98,4.52,6.38,3.18,4.61,0.00,245.43,203.99,143.42,14.02,5.73,9.02,40.55,10.80,5.90,90.52,57.61,33.40,31.90,44.66,231.74,34.39,36.42,0.00,16.93,0.00,17.24,219.87,199.49,94.14,129.47,108.78,0.00
10230.37,7.70,28.34,6.27,10.22,12.58,0.00,2.60,13.87,27.40,50.77,4.28,0.00,0.00,0.00,0.00,0.00,7.24,0.00,15.73,0.00,40.26,25.34,0.00,3.52,0.00,5.62,2.73,0.00,3.53,0.00,-19.64,0.00,0.00,0.00,21.21,27.96,-16.05,0.00,0.00,0.00,0.49,0.00,29.76,3.12,12.33,23.44,0.00,0.00,0.00,0.00,0.00,18.04,3.43,7.24,0.00,0.00,0.00,10.99,0.00,22.80,16.45,17.97,16.47,44.14,4.22,6.50,2.69,4.49,0.00,242.31,198.87,139.33,14.03,6.04,8.88,40.83,11.16,5.98,87.90,57.44,32.81,31.42,44.43,229.10,34.27,36.93,0.00,17.13,0.00,17.55,215.04,195.72,91.11,125.86,104.72,0.00
10257.49,10.57,28.30,5.71,10.06,12.21,0.00,2.55,13.67,26.87,50.24,3.88,0.00,0.00,-4.75,0.00,0.00,6.85,0.00,14.89,0.00,41.44,25.17,0.00,4.19,0.00,6.05,2.98,0.00,3.44,0.00,0.00,0.00,0.00,0.00,21.11,27.91,0.00,0.00,0.00,0.00,0.76,0.00,30.22,3.63,10.20,23.63,0.00,0.00,0.00,0.00,-31.65,18.35,3.52,7.30,0.00,0.00,0.00,10.90,0.00,22.34,16.04,18.06,16.45,44.12,3.87,6.57,2.36,4.29,0.00,239.20,193.63,135.19,13.94,6.09,8.74,41.20,11.40,5.97,85.21,57.20,32.48,30.84,44.12,225.83,34.31,37.20,0.00,17.14,0.00,17.88,210.13,191.37,87.92,122.03,100.75,0.00
10284.61,13.24,28.17,5.15,9.79,11.62,0.00,2.60,13.46,26.13,49.62,3.67,0.00,0.00,0.00,0.00,0.00,6.18,0.00,14.01,0.00,42.43,24.77,0.00,5.04,0.00,6.45,3.61,0.00,3.18,0.00,0.00,0.00,0.00,0.00,20.90,27.79,0.00,0.00,0.00,0.00,1.17,0.00,30.48,4.28,8.09,24.16,0.00,0.00,0.00,0.00,0.00,18.46,3.48,7.52,0.00,0.00,0.00,10.81,0.00,21.85,15.72,18.28,16.49,43.90,3.49,6.51,2.28,3.99,0.00,232.88,188.44,130.98,13.69,6.02,8.42,41.65,11.61,5.94,82.44,57.09,32.15,30.24,43.72,221.84,34.44,37.47,0.00,16.91,0.00,18.25,204.97,186.31,84.56,117.91,96.96,0.00
10311.72,15.00,27.86,4.94,9.31,10.89,0.00,2.62,13.08,25.33,48.75,3.65,0.00,0.00,0.00,0.00,0.00,5.31,0.00,13.32,0.00,43.26,24.07,0.00,5.94,0.00,6.71,4.55,0.00,2.84,0.00,0.00,0.00,0.00,0.00,20.70,27.64,0.00,0.00,-17.27,-12.34,1.62,0.00,30.62,4.87,6.41,24.63,0.00,0.00,0.00,-39.18,0.00,18.37,3.44,7.84,0.00,0.00,0.00,10.49,0.00,21.49,15.62,18.51,16.54,43.57,3.16,6.35,2.38,3.58,0.00,226.45,183.33,126.70,13.30,6.00,8.27,42.08,11.88,5.99,81.05,57.23,31.53,29.70,43.27,217.30,34.57,38.00,0.00,16.49,0.00,18.64,199.50,180.63,81.17,113.50,93.35,0.00
10338.84,15.35,27.44,4.72,8.65,10.18,0.00,2.47,12.64,24.62,47.74,3.86,0.00,0.00,0.00,0.00,0.00,4.85,0.00,12.96,0.00,43.61,23.63,0.00,6.66,0.00,6.81,5.46,0.00,2.55,0.00,0.00,0.00,0.00,0.00,20.62,27.55,0.00,0.00,0.00,0.00,2.02,0.00,30.80,5.23,5.43,24.88,0.01,0.00,0.00,0.00,0.00,18.28,3.51,8.22,0.00,0.00,0.00,10.06,0.00,21.29,15.53,18.66,16.53,43.31,2.94,6.24,2.53,3.11,0.00,220.02,178.26,122.41,12.87,6.13,8.35,42.37,12.17,6.21,79.66,57.52,30.97,29.23,42.80,212.51,34.66,38.45,0.00,16.04,-3.99,19.02,193.76,174.59,77.87,108.92,89.90,0.00
10365.96,14.09,27.06,4.49,7.94,9.56,0.00,2.11,12.06,24.09,46.96,4.25,0.00,0.00,0.00,0.00,0.00,4.39,0.00,12.86,0.00,43.97,23.18,0.00,7.00,0.00,6.83,5.98,0.00,2.40,0.00,0.00,0.00,0.00,0.00,20.70,27.66,0.00,0.00,0.00,0.00,2.31,0.00,31.13,5.29,5.17,24.93,0.00,0.00,-27.94,0.00,0.00,17.90,3.75,8.58,0.00,0.00,0.00,9.58,0.00,21.19,15.42,18.68,16.42,43.15,2.87,6.23,2.64,2.65,0.00,213.71,173.16,118.23,12.56,6.41,8.57,42.47,12.40,6.62,76.96,57.79,30.49,28.82,42.26,207.69,34.68,38.74,0.00,15.69,0.00,19.33,187.86,168.55,74.74,104.37,86.53,0.00
10393.08,11.47,26.85,4.41,7.32,9.02,0.00,1.63,11.33,23.82,46.81,4.65,0.00,0.00,0.00,0.00,0.00,3.53,0.00,12.85,0.00,44.64,22.33,0.00,6.91,0.00,6.88,5.99,0.00,2.42,0.00,0.00,0.00,0.00,0.00,20.88,28.04,0.00,0.00,0.00,0.00,2.42,0.00,31.66,5.10,5.39,24.91,0.00,0.00,0.00,0.00,0.00,17.50,4.10,8.83,0.00,-13.78,-0.36,9.10,0.00,21.09,15.30,18.59,16.31,43.02,2.89,6.24,2.70,2.30,-13.77,207.53,167.95,114.21,12.48,6.72,8.81,42.43,12.45,6.88,74.50,57.90,30.13,28.41,41.65,203.02,34.67,38.83,0.00,15.45,0.00,19.58,181.85,162.83,71.76,99.92,83.15,0.00
10420.20,8.12,26.83,4.35,6.83,8.49,0.00,1.18,10.54,23.77,47.39,4.85,0.00,0.00,0.00,0.00,0.00,2.83,0.00,12.78,0.00,45.29,21.68,0.00,6.41,0.14,7.03,5.69,0.00,2.44,0.00,0.00,0.00,-7.41,0.00,21.11,28.62,0.00,0.00,0.00,0.00,2.53,0.00,32.42,4.78,5.66,24.95,0.00,0.00,0.00,0.00,0.00,17.24,4.51,8.91,0.00,0.00,0.00,8.65,0.00,21.00,15.12,18.43,16.20,42.80,2.91,6.25,2.79,2.13,0.00,201.34,162.61,110.36,12.55,6.92,8.99,42.36,12.36,7.14,72.37,57.79,29.96,27.96,41.03,198.57,34.66,38.77,0.00,15.26,0.00,19.76,175.74,160.22,68.83,95.55,79.66,0.00
10447.32,4.75,26.85,4.17,6.33,7.96,0.00,0.90,9.82,23.84,48.42,4.67,0.00,0.00,0.00,0.00,0.00,2.29,0.00,12.61,0.00,45.82,21.30,0.00,5.64,1.23,7.24,5.46,0.00,2.62,0.00,0.00,-9.71,0.00,0.00,21.34,29.27,0.00,0.00,0.00,0.00,2.71,0.00,33.32,4.41,5.66,25.09,0.00,0.00,0.00,0.00,0.00,17.16,4.96,8.85,0.00,0.00,0.00,8.24,0.00,21.01,14.85,18.20,15.94,42.51,3.05,6.17,2.91,2.15,0.00,194.94,157.08,106.60,12.61,7.02,9.17,42.36,12.25,7.66,70.53,57.44,29.96,27.50,40.55,194.24,34.65,38.64,0.00,15.03,0.00,19.92,169.48,157.60,65.82,91.19,76.01,0.00
10474.43,1.92,26.61,3.81,5.67,7.49,0.00,0.82,9.26,23.92,49.46,4.12,-2.49,0.00,0.00,0.00,0.00,1.81,0.00,12.34,0.77,46.10,21.06,0.00,4.75,2.24,7.32,5.56,0.00,2.87,0.00,0.00,0.00,0.00,0.00,21.57,29.54,0.00,0.00,0.00,0.00,2.89,0.00,34.27,4.04,5.23,25.27,0.00,0.00,0.00,0.00,0.00,17.22,5.48,8.71,0.00,0.00,0.00,7.88,0.00,21.23,14.50,17.81,15.67,42.25,3.29,5.93,2.93,2.31,0.00,188.26,151.32,102.88,12.52,7.16,9.36,42.41,12.23,8.04,68.86,56.85,30.01,27.15,40.31,189.80,34.62,38.50,-18.39,14.76,0.00,20.01,163.07,152.78,62.72,86.87,72.29,0.00
10501.55,0.01,25.83,3.32,4.79,7.22,0.00,0.85,8.81,23.91,50.24,3.33,0.00,0.00,0.00,0.00,0.00,1.28,0.00,12.02,1.40,46.05,20.74,0.00,3.88,2.95,7.40,6.03,0.00,3.12,0.00,0.00,0.00,0.00,0.00,21.79,29.82,0.00,0.00,0.00,0.00,3.11,0.00,35.10,3.71,4.46,25.45,0.00,0.00,0.00,0.00,0.00,17.32,6.10,8.59,0.00,0.00,0.00,7.56,0.00,21.66,14.05,17.20,15.47,42.17,3.66,5.63,2.95,2.56,0.00,181.41,145.33,99.15,12.27,7.50,9.53,42.46,12.32,8.25,67.22,56.07,30.04,27.01,40.25,184.92,34.49,38.42,0.00,14.53,0.00,20.09,156.67,148.13,59.63,82.74,68.62,0.00
10528.67,0.00,24.35,2.83,3.84,7.14,0.00,0.82,8.35,23.76,50.76,2.55,0.00,0.00,0.00,0.00,0.00,0.67,0.00,11.60,1.83,45.66,20.19,0.00,3.15,3.23,7.38,6.67,0.00,3.27,0.00,0.00,0.00,0.00,0.00,22.01,30.14,0.00,0.00,0.00,0.00,3.30,0.00,35.74,3.44,3.58,25.66,-1.28,0.00,0.00,0.00,0.00,17.41,6.43,8.55,0.00,0.00,0.00,7.25,0.00,22.24,13.55,16.43,15.39,42.38,4.13,5.37,2.78,2.79,0.00,174.57,139.17,95.35,11.97,8.06,9.62,42.68,12.48,8.33,65.49,55.19,29.98,27.12,40.16,179.37,34.22,38.47,0.00,14.43,0.00,20.32,150.50,143.44,56.62,78.90,65.06,0.00
10555.79,0.00,22.30,2.50,3.01,7.16,0.00,0.66,7.76,23.44,51.15,2.01,0.00,0.00,0.00,0.00,0.00,0.06,0.00,11.02,2.14,45.09,19.44,0.00,2.64,3.10,7.16,7.23,0.00,3.25,0.00,0.00,0.00,0.00,0.00,22.23,30.22,0.00,0.00,0.00,0.00,3.38,0.00,36.15,3.22,2.81,25.95,0.00,0.00,0.00,0.00,0.00,17.48,6.76,8.65,0.00,0.00,0.00,6.90,0.00,22.88,13.13,15.68,15.46,42.86,4.62,5.20,2.41,2.95,0.00,167.80,132.99,91.46,11.79,8.68,9.63,42.95,12.64,8.40,63.60,54.31,29.84,27.43,39.80,173.17,33.85,38.68,0.00,14.49,0.00,20.59,144.72,138.70,53.72,75.38,61.58,0.00
10582.91,0.85,20.02,2.36,2.41,7.12,0.00,0.36,7.06,22.97,51.36,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.23,2.45,44.51,18.62,0.00,2.35,2.78,6.87,7.56,0.00,3.05,0.00,0.00,0.00,0.00,-21.04,22.38,30.08,0.00,0.00,0.00,0.00,3.30,0.00,36.35,3.05,2.30,26.34,0.00,-14.99,0.00,0.00,0.00,17.53,7.35,8.93,0.00,0.00,0.00,6.49,0.00,23.47,12.91,15.17,15.68,43.49,4.97,5.11,1.94,3.01,0.00,161.04,126.94,89.52,11.81,9.16,9.59,43.19,12.73,8.56,61.51,53.42,29.64,27.79,39.13,166.54,33.50,39.03,0.00,14.70,0.00,20.86,139.31,133.98,50.86,72.08,58.11,0.00
10610.03,1.79,17.83,2.28,1.95,6.95,0.00,0.01,6.44,22.42,51.18,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.27,2.89,44.02,17.89,0.00,2.26,2.47,6.65,7.64,0.00,2.74,0.00,0.00,0.00,0.00,0.00,22.40,29.81,0.00,0.00,0.00,0.00,3.17,0.00,36.38,2.94,2.04,26.76,0.00,0.00,0.00,0.00,0.00,17.57,7.73,9.35,0.00,0.00,0.00,6.06,0.00,23.93,12.91,14.99,16.02,44.02,5.14,5.04,1.57,2.98,0.00,154.24,121.06,87.58,12.01,9.35,9.51,43.29,12.71,8.84,59.24,52.52,29.39,28.12,38.27,159.74,33.27,39.45,0.00,14.98,0.19,21.15,134.11,129.33,47.98,68.89,54.59,0.00
10637.14,1.64,15.89,2.10,1.43,6.72,0.00,0.00,6.09,21.92,50.42,1.65,0.00,-0.48,0.00,0.00,0.00,0.00,0.00,8.20,3.60,43.65,17.27,0.00,2.29,2.35,6.64,7.59,-16.65,2.51,0.00,0.00,0.00,0.00,0.00,22.25,29.51,0.00,0.00,0.00,0.00,3.23,0.00,36.28,2.87,1.88,27.03,0.00,0.00,0.00,0.00,0.00,17.59,7.86,9.79,0.00,0.00,0.00,5.70,0.00,24.25,13.05,15.04,16.44,44.26,5.14,5.03,1.45,2.95,0.00,147.43,115.41,83.82,12.33,9.25,9.37,43.19,12.63,9.11,56.89,51.69,29.09,28.41,37.47,156.35,33.12,39.93,0.00,15.24,0.13,21.52,128.96,124.61,45.12,65.70,51.03,0.00
10664.26,0.09,14.25,1.69,0.63,6.58,0.00,0.00,6.09,21.60,49.17,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,4.69,43.34,16.68,0.00,2.37,2.23,6.89,7.54,0.00,2.54,0.00,0.00,0.00,0.00,0.00,21.93,29.32,0.00,0.00,0.00,0.00,3.64,0.00,36.12,2.79,1.65,26.98,0.00,0.00,0.00,0.00,0.00,17.55,7.78,10.11,0.00,0.00,0.00,5.45,0.00,24.42,13.19,15.18,16.89,44.21,5.07,5.09,1.64,2.98,0.00,140.76,110.00,80.22,12.71,9.10,9.14,42.98,12.56,9.24,54.58,51.11,28.69,28.70,36.90,152.95,32.94,40.48,0.00,15.44,0.00,22.05,123.82,119.66,42.33,62.46,47.57,0.00
10691.38,0.00,12.93,1.09,0.00,6.67,0.00,0.00,6.27,21.47,47.75,1.27,0.00,0.00,0.00,0.00,-3.44,0.00,0.00,6.00,6.18,43.02,15.99,0.00,2.42,1.93,7.43,7.31,0.00,2.84,0.00,0.00,0.00,0.00,0.00,21.46,29.34,0.00,0.00,0.00,0.00,4.35,0.00,35.97,2.59,1.23,26.58,0.00,0.00,0.00,0.00,0.00,17.43,7.60,10.23,0.00,0.00,0.00,5.26,0.00,24.52,13.20,15.33,17.29,44.16,5.01,5.19,2.08,3.09,0.00,134.33,104.89,76.77,13.14,8.95,8.91,42.79,12.28,9.14,52.41,50.89,28.15,28.85,36.58,146.30,32.62,41.12,0.00,15.50,0.00,22.76,118.78,114.40,39.67,59.14,44.33,0.00
10718.50,0.00,12.02,0.41,0.00,7.07,0.00,0.00,6.41,21.52,46.54,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,42.68,15.14,0.00,2.44,1.50,8.16,7.03,0.00,3.20,0.00,0.00,0.00,0.00,0.00,20.88,29.53,0.00,0.00,0.00,0.00,5.10,0.00,35.93,2.24,0.68,25.96,0.00,0.00,0.00,0.00,0.00,17.22,7.45,10.19,0.00,0.00,0.00,5.01,0.00,24.63,13.07,15.51,17.55,43.84,4.99,5.27,2.59,3.22,0.00,128.18,100.02,73.40,13.61,8.61,8.80,42.74,11.95,8.85,50.38,50.94,27.51,29.00,36.49,139.93,32.18,41.75,0.00,15.56,0.00,23.54,113.99,108.95,37.19,55.76,41.39,0.00
