Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"F9","SampF9",1,35,,21.3820,0.4579,11931,35,,0.0000,0.0000,0.4938,9.8,300
"F9","SampF9",2,5000,,0.1647,0.5000,19720,5000,,0.0000,0.0000,0.4938,9.8,300
"F10","SampF10",1,35,,21.2141,0.4543,12982,35,,0.0000,0.0000,0.4089,9.8,300
"F10","SampF10",2,5000,,0.1639,0.5000,21412,5000,,0.0000,0.0000,0.4089,9.8,300
"F11","SampF11",1,35,,22.4577,0.4810,10213,35,,0.0000,0.0000,0.5180,9.9,300
"F11","SampF11",2,5000,,0.1645,0.5000,16009,5000,,0.0000,0.0000,0.5180,9.9,300
"F12","SampF12",1,35,,20.4657,0.4383,11901,35,,0.0000,0.0000,0.4836,9.6,300
"F12","SampF12",2,5000,,0.1641,0.5000,20555,5000,,0.0000,0.0000,0.4836,9.6,300
"G1","SampG1",1,35,,20.6198,0.4416,11227,35,,0.0000,0.0000,0.3952,10.0,300
"G1","SampG1",2,5000,,0.1642,0.5000,19030,5000,,0.0000,0.0000,0.3952,10.0,300
"G2","SampG2",1,35,,20.4897,0.4264,10833,35,,0.0000,0.0000,0.4238,10.0,300
"G2","SampG2",2,5000,,0.1645,0.5000,19329,5000,,0.0000,0.0000,0.4238,10.0,300
"G3","SampG3",1,35,,18.6860,0.4002,9757,35,,0.0000,0.0000,0.4044,10.0,300
"G3","SampG3",2,5000,,0.1641,0.5000,18359,5000,,0.0000,0.0000,0.4044,10.0,300
"G4","SampG4",1,35,,18.6739,0.3999,11046,35,,0.0000,0.0000,0.5081,10.0,300
"G4","SampG4",2,5000,,0.1640,0.5000,20408,5000,,0.0000,0.0000,0.5081,10.0,300
"G5","SampG5",1,35,,19.4925,0.4175,9842,35,,0.0000,0.0000,0.5938,10.0,300
"G5","SampG5",2,5000,,0.1641,0.5000,17471,5000,,0.0000,0.0000,0.5938,10.0,300
"G6","SampG6",1,35,,18.1088,0.3878,9726,35,,0.0000,0.0000,0.4958,10.0,300
"G6","SampG6",2,5000,,0.1641,0.5000,18913,5000,,0.0000,0.0000,0.4958,10.0,300
"G7","SampG7",1,35,,17.8573,0.3824,9713,35,,0.0000,0.0000,0.3490,10.0,300
"G7","SampG7",2,5000,,0.1642,0.5000,19011,5000,,0.0000,0.0000,0.3490,10.0,300
"G8","SampG8",1,35,,18.4883,0.3960,10132,35,,0.0000,0.0000,0.4484,10.0,300
"G8","SampG8",2,5000,,0.1645,0.5000,19397,5000,,0.0000,0.0000,0.4484,10.0,300
"G9","SampG9",1,35,,20.0281,0.4289,12284,35,,0.0000,0.0000,0.2984,10.0,300
"G9","SampG9",2,5000,,0.1639,0.5000,21893,5000,,0.0000,0.0000,0.2984,10.0,300
"G10","SampG10",1,35,,18.1040,0.3877,8784,35,,0.0000,0.0000,0.3885,10.0,300
"G10","SampG10",2,5000,,0.1639,0.5000,16898,5000,,0.0000,0.0000,0.3885,10.0,300
"G11","SampG11",1,35,,18.7498,0.4016,9084,35,,0.0000,0.0000,0.4132,10.0,300
"G11","SampG11",2,5000,,0.1646,0.5000,16997,5000,,0.0000,0.0000,0.4132,10.0,300
"G12","SampG12",1,35,,19.7519,0.4230,10376,35,,0.0000,0.0000,0.4126,10.0,300
"G12","SampG12",2,5000,,0.1646,0.5000,18785,5000,,0.0000,0.0000,0.4126,10.0,300
"H1","SampH1",1,35,,19.9603,0.4154,12536,35,,0.0000,0.0000,0.4215,10.0,300
"H1","SampH1",2,5000,,0.1636,0.5000,21846,5000,,0.0000,0.0000,0.4215,10.0,300
"H2","SampH2",1,35,,19.4230,0.4042,9809,35,,0.0000,0.0000,0.5525,10.0,300
"H2","SampH2",2,5000,,0.1641,0.5000,18294,5000,,0.0000,0.0000,0.5525,10.0,300
"H3","SampH3",1,35,,19.3330,0.4141,11281,35,,0.0000,0.0000,0.4409,10.0,300
"H3","SampH3",2,5000,,0.1647,0.5000,20099,5000,,0.0000,0.0000,0.4409,10.0,300
"H4","SampH4",1,35,,19.8691,0.4135,11142,35,,0.0000,0.0000,0.4392,9.0,300
"H4","SampH4",2,5000,,0.1643,0.5000,20576,5000,,0.0000,0.0000,0.4392,9.0,300
"H5","SampH5",1,35,,21.0842,0.4388,10714,35,,0.0000,0.0000,0.4449,10.0,300
"H5","SampH5",2,5000,,0.1643,0.5000,18986,5000,,0.0000,0.0000,0.4449,10.0,300
"H6","SampH6",1,35,,21.5024,0.4475,10488,35,,0.0000,0.0000,0.4724,10.0,300
"H6","SampH6",2,5000,,0.1645,0.5000,17628,5000,,0.0000,0.0000,0.4724,10.0,300
"H7","SampH7",1,35,,22.0284,0.4584,12028,35,,0.0000,0.0000,0.4481,10.0,300
"H7","SampH7",2,5000,,0.1647,0.5000,19729,5000,,0.0000,0.0000,0.4481,10.0,300
"H8","SampH8",1,35,,21.2230,0.4416,11158,35,,0.0000,0.0000,0.4587,10.0,300
"H8","SampH8",2,5000,,0.1644,0.5000,19439,5000,,0.0000,0.0000,0.4587,10.0,300
"H9","SampH9",1,35,,17.8846,0.3830,8081,35,,0.0000,0.0000,0.6041,10.0,300
"H9","SampH9",2,5000,,0.1641,0.5000,16659,5000,,0.0000,0.0000,0.6041,10.0,300
"H10","SampH10",1,35,,17.7377,0.3799,10317,35,,0.0000,0.0000,0.4834,10.0,300
"H10","SampH10",2,5000,,0.1640,0.5000,20638,5000,,0.0000,0.0000,0.4834,10.0,300
"H11","SampH11",1,35,,18.8213,0.4031,11029,35,,0.0000,0.0000,0.4240,10.0,300
"H11","SampH11",2,5000,,0.1640,0.5000,20741,5000,,0.0000,0.0000,0.4240,10.0,300
"H12","SampH12",1,35,,20.6916,0.4432,10654,35,,130.9169,439.0600,131.5135,,
"H12","SampH12",2,100,4.6,99.2554,6.0444,14860,100,,130.9169,439.0600,131.5135,,
"H12","SampH12",3,200,5.8,62.6702,7.6231,20390,200,,130.9169,439.0600,131.5135,,
"H12","SampH12",4,300,6.2,44.3201,8.0830,22898,300,,130.9169,439.0600,131.5135,,
"H12","SampH12",5,400,6.8,36.5411,8.8838,24682,400,,130.9169,439.0600,131.5135,,
"H12","SampH12",6,500,15.3,66.0378,20.0661,48038,500,,130.9169,439.0600,131.5135,,
"H12","SampH12",7,600,6.1,22.0051,7.9963,19026,600,,130.9169,439.0600,131.5135,,
"H12","SampH12",8,700,6.1,18.7664,7.9707,19825,700,,130.9169,439.0600,131.5135,,
"H12","SampH12",9,800,5.9,15.8301,7.6754,19907,800,,130.9169,439.0600,131.5135,,
"H12","SampH12",10,900,5.8,13.9900,7.6330,20789,900,,130.9169,439.0600,131.5135,,
